study_accession,sample_accession,analysis_accession,generated_ftp,sample_title
PRJEB45963,SAMEA2205612,ERZ3166143,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166143/contig.fa.gz,11657_6#87
PRJEB45963,SAMEA2205614,ERZ3166144,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166144/contig.fa.gz,11679_5#79
PRJEB45963,SAMEA2205618,ERZ3166145,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166145/contig.fa.gz,11658_6#96
PRJEB45963,SAMEA2205616,ERZ3166146,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166146/contig.fa.gz,11658_4#93
PRJEB45963,SAMEA2205611,ERZ3166147,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166147/contig.fa.gz,11658_7#95
PRJEB45963,SAMEA2205617,ERZ3166148,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166148/contig.fa.gz,11658_7#96
PRJEB45963,SAMEA2205619,ERZ3166152,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166152/contig.fa.gz,11679_6#82
PRJEB45963,SAMEA2205621,ERZ3166153,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166153/contig.fa.gz,11657_6#88
PRJEB45963,SAMEA2205624,ERZ3166154,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166154/contig.fa.gz,11679_4#85
PRJEB45963,SAMEA2205620,ERZ3166155,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166155/contig.fa.gz,11658_4#94
PRJEB45963,SAMEA2205623,ERZ3166156,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166156/contig.fa.gz,11679_7#82
PRJEB45963,SAMEA2205622,ERZ3166157,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166157/contig.fa.gz,11791_3#67
PRJEB45963,SAMEA2205625,ERZ3166158,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166158/contig.fa.gz,11791_3#68
PRJEB45963,SAMEA2205627,ERZ3166160,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166160/contig.fa.gz,11791_3#69
PRJEB45963,SAMEA2205626,ERZ3166161,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166161/contig.fa.gz,11658_3#86
PRJEB45963,SAMEA2205628,ERZ3166163,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166163/contig.fa.gz,11679_5#80
PRJEB45963,SAMEA2205629,ERZ3166165,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166165/contig.fa.gz,11791_3#70
PRJEB45963,SAMEA2205630,ERZ3166166,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166166/contig.fa.gz,11791_3#71
PRJEB45963,SAMEA2205634,ERZ3166169,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166169/contig.fa.gz,11679_6#83
PRJEB45963,SAMEA2205632,ERZ3166171,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166171/contig.fa.gz,11679_5#81
PRJEB45963,SAMEA2205633,ERZ3166172,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166172/contig.fa.gz,11791_3#72
PRJEB45963,SAMEA2205636,ERZ3166173,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166173/contig.fa.gz,11658_3#87
PRJEB45963,SAMEA2205631,ERZ3166174,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166174/contig.fa.gz,11657_6#89
PRJEB45963,SAMEA2205635,ERZ3166175,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166175/contig.fa.gz,11791_3#73
